,City,Cloudiness,Country,Date,Humidity,lat,lon,Max Temp,Wind Speed
55,Ugoofaaru,50,MV,1583021930,76,5.67,73.0,27.46,4.74
56,Vaini,40,TO,1583021876,79,-21.2,-175.2,29.0,6.2
57,Alofi,0,NU,1583021901,74,-19.06,-169.92,30.0,5.1
58,Mchinji,45,MW,1583022156,98,-13.8,32.88,17.41,1.63
59,Upernavik,69,GL,1583022157,86,72.79,-56.15,-31.53,1.6
60,Khatanga,100,RU,1583021881,94,71.97,102.5,-17.54,6.07
61,Mahébourg,40,MU,1583021901,94,-20.41,57.7,25.0,1.73
62,Puerto Ayora,75,EC,1583022136,74,-0.74,-90.35,28.0,6.2
63,Aswān,41,EG,1583021907,44,24.09,32.91,15.0,3.1
64,Zitlala,0,MX,1583022158,71,17.63,-99.08,19.81,3.74
65,Jamestown,90,US,1583022110,79,42.1,-79.24,-2.78,6.2
66,Gemena,12,CD,1583022158,55,3.25,19.77,25.15,1.68
67,Port Hardy,40,CA,1583022159,75,50.7,-127.42,6.0,4.1
68,Ribeira Grande,89,PT,1583022159,91,38.52,-28.7,14.77,7.45
69,Qaanaaq,12,GL,1583022009,70,77.48,-69.36,-31.49,2.34
70,Katsuura,20,JP,1583022159,62,35.13,140.3,12.78,6.7
71,Solnechnyy,0,RU,1583022159,82,50.72,136.63,-8.74,1.05
72,Longyearbyen,75,SJ,1583022069,70,78.22,15.64,-17.0,4.1
73,Riyadh,0,SA,1583022160,24,24.69,46.72,20.0,3.6
74,Visby,100,SE,1583022160,100,57.64,18.3,4.44,5.7
75,Salalah,0,OM,1583022034,40,17.02,54.09,22.0,1.0
76,Pochutla,5,MX,1583022161,43,15.74,-96.47,31.0,5.04
77,Suslovo,0,RU,1583022065,92,56.22,88.12,-11.91,1.49
78,Lamu,34,KE,1583022161,82,-2.27,40.9,27.99,4.4
79,Bangkalan,100,ID,1583022161,90,-7.05,112.74,25.47,3.14
80,Fenoarivo,75,MG,1583022161,82,-18.93,47.44,18.0,2.6
81,Buin,0,CL,1583022162,56,-33.73,-70.75,26.0,6.7
82,Matara,98,LK,1583022162,90,5.95,80.54,21.67,2.47
83,Beisfjord,100,NO,1583022162,85,68.38,17.6,-2.78,6.7
84,Cardston,75,CA,1583022162,38,49.2,-113.3,5.0,12.3
85,Carnarvon,0,AU,1583021880,78,-24.87,113.63,24.0,6.2
86,Camalú,65,MX,1583022163,36,30.85,-116.07,18.42,4.49
87,Pangody,100,RU,1583022163,91,65.85,74.49,-4.61,13.27
88,Lebu,0,CL,1583022163,73,-37.62,-73.65,15.12,1.56
89,Sampit,100,ID,1583022163,96,-2.53,112.95,25.18,0.75
90,Avarua,2,CK,1583021881,70,-21.21,-159.78,29.0,4.1
91,Vila Franca do Campo,75,PT,1583022164,88,37.72,-25.43,17.0,7.7
92,Port Lincoln,86,AU,1583021969,54,-34.73,135.87,21.53,3.33
93,Mumford,3,GH,1583022164,83,5.26,-0.76,26.98,2.76
94,Iskateley,100,RU,1583022069,96,67.68,53.15,-9.37,3.93
95,Cabo San Lucas,40,MX,1583022025,60,22.89,-109.91,27.78,3.6
96,Lompoc,90,US,1583021844,71,34.64,-120.46,19.44,6.2
97,Pahrump,1,US,1583022108,17,36.21,-115.98,21.11,4.6
98,Rawson,0,AR,1583021948,46,-43.3,-65.1,21.73,7.72
99,Toora-Khem,99,RU,1583022165,95,52.47,96.11,-9.02,2.24
100,George Town,20,MY,1583022031,69,5.41,100.34,27.0,3.6
101,Cayenne,90,GF,1583022166,74,4.93,-52.33,26.0,2.1
102,Carora,95,VE,1583022166,58,10.18,-70.08,25.1,2.2
103,Acajutla,0,SV,1583022166,61,13.59,-89.83,28.55,2.5
104,Kedrovyy,100,RU,1583022166,84,56.17,91.82,-14.0,1.0
105,Ginir,0,ET,1583022167,44,7.13,40.7,16.63,1.88
106,Hermanus,0,ZA,1583021893,84,-34.42,19.23,19.44,4.02
107,Nome,1,US,1583021939,70,64.5,-165.41,-13.33,2.1
108,Vardø,39,NO,1583022167,80,70.37,31.11,-5.76,2.17
109,Hanko,100,FI,1583022168,98,59.83,22.95,1.11,6.04
110,Norman Wells,40,CA,1583021875,63,65.28,-126.83,-22.0,4.6
111,Zatoka,0,UA,1583022168,80,46.07,30.47,1.0,2.0
112,Half Moon Bay,75,US,1583022168,66,37.46,-122.43,15.56,8.7
113,Quelimane,3,MZ,1583022069,92,-17.88,36.89,24.52,3.8
114,Yulara,85,AU,1583022100,16,-25.24,130.99,33.0,5.1
115,Mahon,100,ES,1583022169,87,39.89,4.27,15.0,5.7
116,Barrow,40,US,1583021818,76,71.29,-156.79,-23.0,3.6
117,Boa Vista,38,BR,1583022021,48,2.82,-60.67,31.0,5.7
118,Saint-Pierre,0,RE,1583022170,83,-21.34,55.48,25.0,1.5
119,Āsosa,0,ET,1583022170,13,10.07,34.53,21.95,2.38
120,East London,38,ZA,1583021888,78,-33.02,27.91,19.2,6.79
121,Nova Olímpia,96,BR,1583021832,95,-14.8,-57.29,21.91,1.25
122,Hailar,93,CN,1583022171,97,49.2,119.7,-18.86,2.58
123,Bambous Virieux,40,MU,1583022060,94,-20.34,57.76,25.0,2.13
124,Port Elizabeth,30,ZA,1583022171,82,-33.92,25.57,18.0,4.6
125,Buraidah,2,SA,1583022171,54,26.33,43.98,14.0,3.1
126,Klaksvík,100,FO,1583022172,91,62.23,-6.59,4.0,17.0
127,Nouadhibou,0,MR,1583022172,72,20.93,-17.03,19.0,9.3
128,Chicama,90,PE,1583022172,78,-7.84,-79.15,24.0,5.1
129,Tiksi,7,RU,1583022172,89,71.69,128.87,-21.29,2.4
130,Slavutych,0,UA,1583022172,75,51.52,30.73,0.76,4.46
131,Zhanakorgan,100,KZ,1583022173,53,43.91,67.25,4.21,0.89
132,Mtambile,78,TZ,1583022173,72,-5.38,39.7,29.65,1.42
133,Nikolskoye,90,RU,1583022029,92,59.7,30.79,-0.56,4.0
134,Ust'-Kut,91,RU,1583021971,97,56.79,105.77,-13.79,0.92
135,Sajanan,24,TN,1583022173,57,37.06,9.24,11.0,0.5
136,Samaná,20,DO,1583022173,88,19.21,-69.34,25.0,1.06
137,Dikson,100,RU,1583022174,89,73.51,80.55,-14.46,9.38
138,Gamba,100,GA,1583022174,91,-2.65,10.0,25.67,3.14
139,Maniitsoq,80,GL,1583021922,84,65.42,-52.9,-16.51,2.49
140,Surin,31,TH,1583022174,60,14.88,103.49,24.44,1.5
141,Lázaro Cárdenas,0,MX,1583021924,64,17.96,-102.2,27.34,3.77
142,Fairbanks,75,US,1583022040,58,64.84,-147.72,-12.78,0.86
143,Tomatlán,0,MX,1583022175,39,19.93,-105.25,28.48,2.84
144,Ararat,75,AM,1583022175,87,39.83,44.7,6.0,1.0
145,Lakes Entrance,95,AU,1583022175,62,-37.88,147.98,24.44,0.45
146,Thompson,90,CA,1583022037,85,55.74,-97.86,-4.0,1.5
147,Oberá,0,AR,1583022176,52,-27.49,-55.12,21.1,1.22
148,Coyhaique,10,CL,1583022014,59,-45.58,-72.07,18.0,2.7
149,Alyangula,40,AU,1583022059,79,-13.85,136.42,30.0,3.6
150,Masapang,40,PH,1583022176,69,14.2,121.34,27.78,3.6
151,Kaitangata,45,NZ,1583022177,66,-46.28,169.85,14.64,3.21
152,Noumea,75,NC,1583022130,59,-22.28,166.46,33.0,4.6
153,Saint Paul Harbor,90,US,1583021885,100,57.79,-152.41,1.0,4.1
154,Kuril'sk,30,RU,1583022177,75,45.23,147.88,-6.89,0.39
155,Sur,0,OM,1583021913,53,22.57,59.53,19.21,2.34
156,Caucaia,20,BR,1583021909,70,-3.74,-38.65,29.0,1.5
157,Kavaratti,100,IN,1583021908,68,10.57,72.64,28.09,1.47
158,Ampanihy,97,MG,1583022178,85,-24.7,44.75,21.25,6.05
159,Desaguadero,23,PE,1583022178,75,-16.57,-69.04,10.19,4.86
160,Sistranda,75,NO,1583022178,68,63.73,8.83,-2.0,6.7
161,Najrān,0,SA,1583021945,20,17.49,44.13,20.0,2.1
162,Esperance,90,AU,1583022045,93,-33.87,121.9,18.0,9.3
163,Butaritari,85,KI,1583022026,81,3.07,172.79,28.61,9.23
164,Tsovinar,93,AM,1583022180,98,40.16,45.46,-5.05,5.37
165,San Quintín,85,MX,1583021911,60,30.48,-115.95,17.08,4.39
166,Celestún,0,MX,1583022181,67,20.87,-90.4,22.07,13.02
167,Camacha,40,PT,1583022181,88,33.08,-16.33,18.0,5.1
168,Bafoulabé,17,ML,1583022181,7,13.81,-10.83,26.62,3.99
169,Ust-Nera,8,RU,1583022181,98,64.57,143.2,-27.34,1.4
170,Nioro,47,GM,1583022182,8,13.35,-15.75,26.95,4.05
171,Kalmunai,76,LK,1583021903,78,7.42,81.82,26.88,6.37
172,Deniliquin,80,AU,1583022182,27,-35.53,144.97,29.19,4.95
173,Pouembout,59,NC,1583022183,64,-21.13,164.9,30.09,4.04
174,Balakhta,82,RU,1583022183,99,55.38,91.6,-15.9,0.4
175,Thinadhoo,20,MV,1583022183,78,0.53,72.93,27.89,6.2
176,Bethel,1,US,1583021879,38,41.37,-73.41,-1.0,4.6
177,Bontang,100,ID,1583022184,77,0.13,117.5,27.14,4.17
178,Belle Glade,20,US,1583022184,36,26.68,-80.67,17.0,2.6
179,Balotra,0,IN,1583022184,34,25.83,72.23,20.87,3.6
180,Yatou,100,CN,1583022184,84,37.15,122.38,4.73,2.67
181,San Cristobal,40,VE,1583021959,61,7.77,-72.22,28.0,2.1
182,Phan Thiet,1,VN,1583022185,64,10.93,108.1,23.71,1.38
183,Kapuskasing,20,CA,1583022185,56,49.42,-82.43,-11.0,1.5
184,Veverská Bítýška,100,CZ,1583022185,91,49.28,16.44,6.11,3.1
185,Huarmey,61,PE,1583022185,77,-10.07,-78.15,22.78,2.11
186,Auki,31,SB,1583022185,69,-8.77,160.7,29.15,1.39
187,Taoudenni,0,ML,1583021898,13,22.68,-3.98,21.31,3.84
188,Guerrero Negro,100,MX,1583022186,42,27.98,-114.06,19.77,7.05
189,Alice Springs,100,AU,1583022186,11,-23.7,133.88,32.0,5.1
190,Rochegda,100,RU,1583022186,94,62.8,43.25,-8.54,4.41
191,Philadelphia,75,US,1583022137,32,39.95,-75.16,0.0,5.7
192,Yar-Sale,100,RU,1583022040,96,66.83,70.83,-1.05,13.47
193,Hvide Sande,63,DK,1583022187,86,56.0,8.13,5.0,6.7
194,Inhambane,52,MZ,1583022187,71,-23.86,35.38,23.9,8.32
195,San Patricio,5,MX,1583021974,79,19.22,-104.7,29.0,6.2
196,Pacifica,75,US,1583022188,66,37.61,-122.49,15.56,8.7
197,Mossamedes,83,AO,1583022188,75,-15.2,12.15,22.92,1.19
198,Ahipara,63,NZ,1583021965,79,-35.17,173.17,27.78,3.35
199,Kremenki,21,RU,1583022189,92,54.88,37.13,-1.0,2.0
200,Bubaque,0,GW,1583022189,64,11.28,-15.83,27.47,6.58
201,Saldanha,0,ZA,1583022189,40,-33.01,17.94,23.0,4.6
202,The Valley,20,AI,1583021968,83,18.22,-63.06,25.56,3.1
203,Erenhot,2,CN,1583022189,82,43.65,111.98,-9.35,3.42
204,Souillac,40,MU,1583021925,94,-20.52,57.52,25.0,1.73
205,Pisco,48,PE,1583022057,78,-13.7,-76.22,24.0,8.7
206,North Branch,1,US,1583022190,69,45.51,-92.98,3.0,2.6
207,Huancavelica,100,PE,1583022190,97,-12.77,-74.98,1.7,3.13
208,Brainerd,1,US,1583022190,69,46.36,-94.2,2.22,3.6
209,Cidreira,0,BR,1583021828,73,-30.18,-50.21,23.65,5.41
210,Oistins,20,BB,1583022191,69,13.07,-59.53,25.0,5.7
211,Vostok,79,RU,1583022191,91,46.49,135.88,-6.58,0.3
212,Santa Rosa,40,PH,1583022191,69,14.31,121.11,27.78,3.6
213,Roald,100,NO,1583022191,51,62.58,6.13,4.0,8.7
214,Ghogha,0,IN,1583022192,66,21.68,72.28,23.4,6.11
215,Bogorodskoye,0,RU,1583022192,88,56.55,37.88,-5.41,3.88
216,Teya,84,RU,1583022192,97,60.38,92.63,-18.06,0.98
217,Tilichiki,0,RU,1583022192,85,60.47,166.1,-17.8,4.94
218,Cuamba,65,MZ,1583022192,93,-14.8,36.54,19.47,2.27
219,Kulhudhuffushi,69,MV,1583022018,76,6.62,73.07,27.39,3.16
220,El Ejido,100,ES,1583022193,77,36.78,-2.81,17.0,7.7
221,Avera,1,US,1583021933,31,33.19,-82.53,12.0,1.5
222,Mitchell,1,US,1583022193,65,43.71,-98.03,8.0,4.6
223,Mount Isa,88,AU,1583022041,31,-20.73,139.5,32.0,1.0
224,Mar del Plata,0,AR,1583022194,94,-38.0,-57.56,20.0,4.1
225,Dudinka,75,RU,1583022194,84,69.41,86.18,-17.0,5.0
226,Charters Towers,0,AU,1583022194,59,-20.1,146.27,28.27,4.26
227,Alta Floresta,93,BR,1583021881,96,-9.88,-56.09,23.22,1.85
228,Dingle,35,PH,1583022008,77,11.0,122.67,24.72,5.35
229,Beringovskiy,0,RU,1583021950,84,63.05,179.32,-20.45,10.15
230,Olafsvik,100,IS,1583021936,74,64.89,-23.71,0.07,4.69
231,Fare,100,PF,1583022195,89,-16.7,-151.02,26.25,10.0
232,Faanui,100,PF,1583021895,83,-16.48,-151.75,27.4,10.2
233,Ulladulla,28,AU,1583022196,57,-35.35,150.47,27.22,2.6
234,Kruisfontein,9,ZA,1583022060,91,-34.0,24.73,15.41,3.35
235,Cabedelo,40,BR,1583022196,83,-6.98,-34.83,27.0,2.6
236,Biggar,90,GB,1583022196,87,55.62,-3.52,7.0,13.9
237,Niamey,0,NE,1583022197,14,13.51,2.11,27.0,1.5
238,Kurchum,0,KZ,1583022197,88,48.57,83.65,-13.0,1.31
239,Buala,60,SB,1583021935,72,-8.14,159.59,29.46,3.01
240,Pudozh,95,RU,1583022197,92,61.81,36.53,-9.27,2.92
241,Sharan,100,RU,1583022197,96,54.82,54.0,-4.39,3.59
242,Port Moresby,40,PG,1583022051,79,-9.44,147.18,30.0,5.1
243,Santa Luzia,75,BR,1583021924,94,-19.77,-43.85,21.0,2.1
244,Sørland,58,NO,1583021907,56,67.67,12.69,-0.22,8.45
245,Chui,0,UY,1583022199,91,-33.7,-53.46,19.78,3.35
246,Tura,0,IN,1583021993,63,25.52,90.22,17.45,1.06
247,Clyde River,1,CA,1583022031,74,70.47,-68.59,-32.0,8.2
248,San Vicente,31,AR,1583022199,99,-26.62,-54.13,21.67,2.68
249,Gilbués,98,BR,1583022199,82,-9.83,-45.34,25.14,0.27
250,Gebre Guracha,100,ET,1583022200,46,9.8,38.4,21.75,2.62
251,Eirunepé,51,BR,1583022200,90,-6.66,-69.87,24.23,0.99
252,Vao,100,NC,1583022200,82,-22.67,167.48,26.83,7.58
253,Pasaje,90,EC,1583022150,83,-3.33,-79.82,32.0,1.5
254,Aleppo Governorate,100,SY,1583022200,88,36.25,37.5,7.48,7.02
255,Álamos,100,MX,1583022201,49,27.02,-108.93,25.56,3.13
256,Tawang Town,20,IN,1583022201,60,27.58,91.87,-4.58,1.72
257,Belmonte,40,BR,1583021927,74,-15.86,-38.88,27.0,4.6
258,Huilong,100,CN,1583022201,95,31.81,121.66,9.44,1.34
259,Mackay,90,AU,1583022202,83,-21.15,149.2,30.56,2.6
260,Camaná,75,PE,1583022202,78,-16.62,-72.71,20.31,2.52
261,Finnsnes,100,NO,1583022202,85,69.23,17.98,-4.0,6.2
262,Lieksa,61,FI,1583022202,85,63.32,30.02,-9.04,2.14
263,Coquimbo,54,CL,1583022203,87,-29.95,-71.34,16.0,3.6
264,Leningradskiy,100,RU,1583022203,93,69.38,178.42,-14.16,3.11
265,Umm Kaddadah,54,SD,1583022203,15,13.6,26.69,19.98,5.89
266,Lagoa,100,PT,1583022203,86,39.05,-27.98,16.59,10.63
267,Aysha,37,RU,1583022203,86,55.87,48.63,-3.0,4.0
268,Luan,75,CH,1583022204,100,46.36,6.98,9.0,1.0
269,Kalmanka,75,RU,1583022204,86,52.9,83.54,-1.0,2.0
270,Raudeberg,100,NO,1583022204,60,61.99,5.14,4.0,12.3
271,Hattiesburg,1,US,1583022204,41,31.33,-89.29,19.0,1.03
272,San Miguel de Tucumán,0,AR,1583022205,61,-26.82,-65.22,27.0,1.5
273,Sergeevka,100,KZ,1583022205,86,53.88,67.42,-6.31,4.13
274,Rapid Valley,1,US,1583022066,34,44.06,-103.15,14.44,1.5
275,Viranşehir,76,TR,1583021930,82,37.24,39.76,9.49,0.83
276,Goderich,99,CA,1583022106,53,43.75,-81.72,0.56,0.89
277,Pecos,1,US,1583022206,7,31.42,-103.49,26.0,6.2
278,Whitehorse,75,CA,1583022097,61,60.72,-135.05,-10.56,4.6
279,Truth or Consequences,1,US,1583022206,11,33.13,-107.25,20.0,9.3
280,Urengoy,100,RU,1583022207,81,65.97,78.37,-9.77,11.28
281,Sīrjān,0,IR,1583022207,46,29.45,55.68,9.2,2.44
282,Khimki,2,RU,1583022207,92,55.9,37.44,0.0,4.0
283,eMkhomazi,97,ZA,1583022207,88,-30.21,30.8,19.44,3.37
284,Mount Gambier,78,AU,1583021937,82,-37.83,140.77,17.0,4.6
285,Níjar,100,ES,1583022208,77,36.97,-2.21,17.0,7.7
286,Kisangani,92,CD,1583022208,58,0.52,25.2,24.49,0.87
287,Seddon,80,AU,1583022208,39,-37.81,144.89,27.78,6.7
288,Nemuro,75,JP,1583022208,67,43.32,145.57,-5.0,1.5
289,Penalva,98,BR,1583022030,97,-3.29,-45.17,24.33,1.17
290,Meulaboh,78,ID,1583022209,81,4.14,96.13,27.61,3.49
291,Yumen,38,CN,1583022209,40,40.28,97.2,-4.38,5.11
292,Acapulco de Juárez,5,MX,1583022209,74,16.86,-99.89,29.0,3.1
293,Yanggu,49,CN,1583022210,75,36.11,115.78,7.13,2.36
294,Lüderitz,61,NA,1583022025,88,-26.65,15.16,19.0,3.1
295,Město Albrechtice,100,CZ,1583022210,56,50.16,17.57,7.78,4.1
296,Pinawa,100,CA,1583022210,94,50.15,-95.88,0.06,3.53
297,Shelburne,75,CA,1583022211,78,44.08,-80.2,-5.0,4.54
298,Richards Bay,58,ZA,1583022211,71,-28.78,32.04,21.02,2.42
299,Manyana,100,BW,1583022211,71,-23.4,21.72,21.33,3.8
300,Tamási,89,HU,1583022211,58,46.63,18.28,5.02,4.98
301,Constitución,0,CL,1583022212,86,-35.33,-72.42,13.71,0.82
302,Talnakh,65,RU,1583022028,84,69.49,88.4,-18.0,3.0
303,Buchanan,74,LR,1583022066,93,5.88,-10.05,25.85,1.72
304,Adzopé,0,CI,1583022213,88,6.11,-3.86,25.71,1.62
305,Alugan,67,PH,1583022213,74,12.22,125.48,26.02,5.67
306,Indramayu,100,ID,1583022213,86,-6.33,108.32,26.29,3.53
307,Maceió,40,BR,1583021779,83,-9.67,-35.74,26.0,2.6
308,Crucea,0,RO,1583022214,74,44.53,28.23,2.0,2.1
309,Ilaskhan-Yurt,90,RU,1583022214,93,43.28,46.1,3.0,2.0
310,Zhigansk,93,RU,1583022214,98,66.77,123.37,-23.31,3.87
311,Xai-Xai,17,MZ,1583022214,75,-25.05,33.64,20.39,2.94
312,Latung,83,PH,1583022214,78,5.5,120.88,27.84,2.63
313,Saint Anthony,1,US,1583022215,74,45.02,-93.22,3.33,5.1
314,Comodoro Rivadavia,15,AR,1583022215,68,-45.87,-67.5,22.0,1.0
315,Vallenar,0,CL,1583022215,91,-28.57,-70.76,14.41,1.65
316,Dolores,26,AR,1583022215,78,-36.31,-57.68,19.77,5.21
317,Tuatapere,53,NZ,1583022216,42,-46.13,167.68,20.74,0.96
318,Merauke,100,ID,1583021892,78,-8.47,140.33,29.13,1.68
319,Bambanglipuro,91,ID,1583022216,84,-7.95,110.28,25.44,1.03
320,Thunder Bay,75,CA,1583022089,63,48.4,-89.32,-1.11,3.1
321,Assiniboia,99,CA,1583021978,61,49.63,-105.98,2.09,7.43
322,Havre-St-Pierre,90,CA,1583022217,85,50.23,-63.6,-6.0,3.6
323,Tayshet,97,RU,1583022217,95,55.93,98.0,-11.03,2.99
324,Hulan Ergi,94,CN,1583022217,94,47.2,123.63,-11.99,1.61
325,Palanga,100,LT,1583022217,80,55.92,21.07,4.0,7.2
326,Troitskoye,87,RU,1583022218,97,52.98,84.68,-4.38,1.25
327,Broome,40,US,1583022218,78,42.25,-75.83,-6.11,3.6
328,Kurumkan,91,RU,1583022218,83,54.3,110.3,-17.28,1.01
329,Pangnirtung,20,CA,1583022218,74,66.15,-65.71,-30.0,1.0
330,Bereda,40,ES,1583022219,87,43.27,-7.54,10.56,4.1
331,Abu Samrah,100,SY,1583022219,82,35.3,37.18,7.33,4.38
332,Kushikino,75,JP,1583022219,100,31.72,130.27,13.0,2.1
333,Trincomalee,33,LK,1583022219,97,8.57,81.23,21.31,0.47
334,Juegang,100,CN,1583022220,96,32.32,121.19,8.89,0.89
335,Port-Gentil,40,GA,1583022220,83,-0.72,8.78,28.0,3.6
336,Harrisonburg,1,US,1583021974,42,38.45,-78.87,2.0,3.6
337,Kloulklubed,75,PW,1583022221,74,7.04,134.26,29.0,4.6
338,Isangel,90,VU,1583021944,79,-19.55,169.27,31.0,5.03
339,Ruska Poliana,1,UA,1583022221,70,49.42,31.92,1.65,3.71
340,Severo-Kuril'sk,94,RU,1583022221,83,50.68,156.12,-3.9,2.67
341,Hohhot,20,CN,1583022221,62,40.81,111.65,-5.0,1.0
342,Saryg-Sep,100,RU,1583022222,96,51.5,95.6,-10.47,1.02
343,Mayya,0,RU,1583022222,75,61.73,130.28,-28.0,2.0
344,Monte Alegre,100,BR,1583022222,82,-2.01,-54.07,26.22,1.57
345,Midland,1,US,1583022080,16,32.0,-102.08,22.0,4.6
346,Sidi Ali,16,DZ,1583022222,68,36.1,0.42,12.38,3.93
347,Ōdachō-ōda,75,JP,1583022223,100,35.18,132.5,6.0,1.0
348,São João da Barra,75,BR,1583022223,94,-21.64,-41.05,24.0,2.1
349,Wamba,60,NG,1583022223,18,8.93,8.6,26.91,2.13
350,Provideniya,0,RU,1583022223,76,64.38,-173.3,-18.12,6.55
351,Vanimo,74,PG,1583021953,75,-2.67,141.3,28.33,2.38
352,Saint George,1,US,1583021844,25,37.1,-113.58,17.0,1.62
353,Mogadishu,97,SO,1583021864,82,2.04,45.34,26.71,7.13
354,Ngara,54,TZ,1583022224,96,-2.51,30.66,15.93,0.74
355,Fort-Shevchenko,5,KZ,1583022224,84,44.51,50.26,2.36,5.4
356,Nhulunbuy,75,AU,1583022225,79,-12.23,136.77,30.0,3.6
357,Awjilah,0,LY,1583022225,63,29.11,21.29,14.39,3.27
358,Les Cayes,2,HT,1583022061,75,18.2,-73.75,25.95,1.86
359,Synya,100,RU,1583022225,95,65.37,58.04,-2.98,4.06
360,Tecalitlán,5,MX,1583022225,54,19.47,-103.3,28.0,5.1
361,Port Blair,20,IN,1583021957,94,11.67,92.75,24.0,4.72
362,Shimoda,75,JP,1583022028,66,34.67,138.95,12.22,5.1
363,Palana,0,RU,1583022226,66,59.12,159.97,-13.14,1.64
364,Timrå,99,SE,1583022226,79,62.49,17.33,-6.11,4.1
365,Codrington,82,AU,1583021904,80,-38.27,141.97,16.71,3.81
366,Weiser,100,US,1583022227,29,44.25,-116.97,8.89,1.79
367,Margate,20,GB,1583022227,70,51.38,1.39,6.11,10.3
368,Iquitos,20,PE,1583022227,88,-3.75,-73.25,27.0,1.13
369,Nadvoitsy,97,RU,1583022227,91,63.87,34.32,-11.66,2.39
370,Oriximiná,100,BR,1583022227,76,-1.77,-55.87,27.82,1.87
